model,negation_type,original_mean_f1,modified_mean_f1,mean_f1_pct_change,sample_size,p_value,significance
claude,verbal,0.478391356542617,0.46485260770975056,-2.830057158789897,28,0.5929800980174267,ns
claude,lexical,0.48185735832794657,0.45018315018315014,-6.573357778473382,26,0.31731050786291415,ns
claude,double,0.43809523809523804,0.46984126984126984,7.2463768115942155,14,0.6547208460185769,ns
claude,approximate,0.43809523809523804,0.48571428571428565,10.869565217391305,14,0.31731050786291415,ns
claude,absolute,0.4627450980392157,0.4617246898759504,-0.22051193358699675,28,0.6547208460185769,ns
llama,verbal,0.5213180726836188,0.5170612184267646,-0.8165560489666204,28,0.9669173678668049,ns
llama,lexical,0.5145330160036042,0.5159316174022056,0.2718195635849297,26,0.31731050786291415,ns
llama,double,0.457312925170068,0.4819160997732426,5.379942977562916,14,0.5929800980174267,ns
llama,approximate,0.4882653061224489,0.4144557823129252,-15.116684082201306,14,0.10880943004054568,ns
llama,absolute,0.49376705227545564,0.4897653000594177,-0.8104534714490216,28,0.8657723749926214,ns
gpt4o,verbal,0.522750766973456,0.5055249372476263,-3.295228015744727,28,0.8886378608950078,ns
gpt4o,lexical,0.5176632191338073,0.5353205617911501,3.4109710724451965,26,0.4652088184521418,ns
gpt4o,double,0.48701814058956916,0.5703514739229025,17.110930043068333,14,0.14412703481601533,ns
gpt4o,approximate,0.49574829931972786,0.5302721088435374,6.963979416809604,14,0.28504940740261275,ns
gpt4o,absolute,0.49996165132719755,0.44614027429153474,-10.76510106180917,28,0.3742593192802244,ns
