model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert,absolute,1.0,0.667,-33.3,0.025347318677468252,0.017491599749621257,0.017491599749621257,*,True
bert,double,1.0,0.75,-25.0,0.025347318677468252,0.019450444016954928,0.019450444016954928,*,True
bert,lexical,1.0,0.933,-6.7,0.31731050786291415,0.35064788970445904,0.31731050786291415,ns,False
bert,approximate,0.852,0.778,-8.7,0.31731050786291415,0.4956962589647711,0.31731050786291415,ns,False
bert,verbal,0.895,0.737,-17.7,0.25683925795785656,0.22358839069991654,0.22358839069991654,ns,False
gpt2,absolute,1.0,0.8,-20.0,0.0832645166635504,0.079231118469792,0.079231118469792,.,False
gpt2,double,0.9,0.8,-11.1,0.31731050786291415,0.39387408059256734,0.31731050786291415,ns,False
gpt2,lexical,0.933,0.933,0.0,1.0,1.0,1.0,ns,False
gpt2,approximate,0.815,0.704,-13.6,0.17971249487899976,0.350133405988757,0.17971249487899976,ns,False
gpt2,verbal,0.895,0.684,-23.6,0.10247043485974941,0.12116618331144982,0.10247043485974941,ns,False
t5,absolute,1.0,0.8,-20.0,0.0832645166635504,0.079231118469792,0.079231118469792,.,False
t5,double,1.0,0.7,-30.0,0.014305878435429648,0.009280028084278164,0.009280028084278164,**,True
t5,lexical,1.0,0.8,-20.0,0.0832645166635504,0.079231118469792,0.079231118469792,.,False
t5,approximate,0.889,0.667,-25.0,0.014305878435429648,0.053152389529209934,0.014305878435429648,*,True
t5,verbal,0.947,0.632,-33.3,0.014305878435429648,0.019534097739506116,0.014305878435429648,*,True
gpt4o,absolute,0.8,0.733,-8.4,0.5637028616507731,0.6920191508085585,0.5637028616507731,ns,False
gpt4o,double,0.9,0.7,-22.2,0.04550026389635839,0.12313827514165407,0.04550026389635839,*,True
gpt4o,lexical,0.933,1.0,7.2,0.31731050786291415,0.35064788970445904,0.31731050786291415,ns,False
gpt4o,approximate,0.741,0.667,-10.0,0.31731050786291415,0.5622115118566886,0.31731050786291415,ns,False
gpt4o,verbal,0.947,0.737,-22.2,0.04550026389635839,0.08312450428483671,0.04550026389635839,*,True
claude-3-5-sonnet,absolute,0.867,0.867,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,double,0.95,0.6,-36.8,0.0081509715935027,0.009364463420820153,0.0081509715935027,**,True
claude-3-5-sonnet,lexical,1.0,1.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,approximate,0.815,0.667,-18.2,0.04550026389635839,0.22278003023053372,0.04550026389635839,*,True
claude-3-5-sonnet,verbal,0.895,0.789,-11.8,0.31731050786291415,0.39262497948712705,0.31731050786291415,ns,False
llama,absolute,0.933,0.8,-14.3,0.31731050786291415,0.30729528726745126,0.30729528726745126,ns,False
llama,double,1.0,0.9,-10.0,0.15729920705028502,0.1624486736568368,0.15729920705028502,ns,False
llama,lexical,1.0,1.0,0.0,1.0,1.0,1.0,ns,False
llama,approximate,0.815,0.667,-18.2,0.10247043485974941,0.22278003023053372,0.10247043485974941,ns,False
llama,verbal,0.947,0.895,-5.5,0.5637028616507731,0.5738613331513637,0.5637028616507731,ns,False
